event_id,equipment,area,crew,fault_code,fault_description,severity,fault_start,fault_cleared,equipment_restarted
E-0238,PUMP-E-01,Utilities,A,F101,Guard circuit open,Medium,2026-07-17 18:25:00,2026-07-17 18:26:00,2026-07-17 18:33:00
E-0141,CONVEYOR-B-01,Material Handling,D,F415,Communication interruption,Low,2026-07-17 18:55:00,2026-07-17 19:07:00,2026-07-17 19:11:00
E-0142,VISION-C-01,Inspection,C,F204,Part not detected,Medium,2026-07-17 19:45:00,2026-07-17 20:01:00,2026-07-17 20:10:00
E-0335,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,Low,2026-07-17 21:56:00,2026-07-17 22:07:00,2026-07-17 22:15:00
E-0346,CELL-A-01,Assembly,D,F204,Part not detected,Low,2026-07-17 23:03:00,2026-07-17 23:17:00,2026-07-17 23:19:00
E-0171,PUMP-E-01,Utilities,D,F101,Guard circuit open,High,2026-07-17 23:56:00,2026-07-18 00:01:00,2026-07-18 00:02:00
E-0495,CELL-A-01,Assembly,D,F101,Guard circuit open,Low,2026-07-18 00:51:00,2026-07-18 01:07:00,2026-07-18 01:16:00
E-0577,CELL-A-01,Assembly,D,F415,Communication interruption,Low,2026-07-18 01:20:00,2026-07-18 01:22:00,2026-07-18 01:26:00
E-0477,CELL-A-01,Assembly,A,F415,Communication interruption,Medium,2026-07-18 03:35:00,2026-07-18 03:50:00,2026-07-18 03:56:00
E-0082,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,Low,2026-07-18 03:38:00,2026-07-18 03:39:00,2026-07-18 03:48:00
E-0395,CONVEYOR-B-01,Material Handling,C,F310,Cycle-time timeout,Low,2026-07-18 04:46:00,2026-07-18 05:03:00,2026-07-18 05:14:00
E-0059,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,High,2026-07-18 05:13:00,2026-07-18 05:23:00,2026-07-18 05:32:00
E-0147,CONVEYOR-B-01,Material Handling,C,F415,Communication interruption,Medium,2026-07-18 05:32:00,2026-07-18 05:46:00,2026-07-18 05:49:00
E-0609,VISION-C-01,Inspection,C,F415,Communication interruption,High,2026-07-18 07:29:00,2026-07-18 07:40:00,2026-07-18 07:48:00
E-0510,CELL-A-02,Assembly,A,F310,Cycle-time timeout,High,2026-07-18 10:46:00,2026-07-18 10:56:00,2026-07-18 10:58:00
E-0290,ROBOT-G-01,Automation,C,F310,Cycle-time timeout,High,2026-07-18 12:26:00,2026-07-18 12:31:00,2026-07-18 12:32:00
E-0370,CELL-A-01,Assembly,A,F310,Cycle-time timeout,High,2026-07-18 14:38:00,2026-07-18 14:49:00,2026-07-18 14:51:00
E-0436,VISION-C-01,Inspection,D,F630,Drive overload,High,2026-07-18 14:47:00,2026-07-18 15:05:00,2026-07-18 15:09:00
E-0412,ROBOT-G-01,Automation,A,F522,Material-present sensor blocked,Medium,2026-07-18 15:28:00,2026-07-18 15:32:00,2026-07-18 15:43:00
E-0386,PACK-D-01,Packaging,B,F310,Cycle-time timeout,Low,2026-07-18 16:58:00,2026-07-18 17:16:00,2026-07-18 17:23:00
E-0106,PACK-D-01,Packaging,C,F310,Cycle-time timeout,High,2026-07-18 21:32:00,2026-07-18 21:42:00,2026-07-18 21:52:00
E-0288,CONVEYOR-B-01,Material Handling,A,F204,Part not detected,Low,2026-07-18 22:03:00,2026-07-18 22:13:00,2026-07-18 22:25:00
E-0223,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,High,2026-07-18 22:23:00,2026-07-18 22:33:00,2026-07-18 22:40:00
E-0525,PRESS-F-01,Forming,A,F630,Drive overload,High,2026-07-18 23:28:00,2026-07-18 23:32:00,2026-07-18 23:37:00
E-0292,CELL-A-01,Assembly,A,F310,Cycle-time timeout,Low,2026-07-18 23:44:00,2026-07-18 23:56:00,2026-07-18 23:57:00
E-0621,VISION-C-01,Inspection,D,F101,Guard circuit open,Medium,2026-07-19 00:28:00,2026-07-19 00:40:00,2026-07-19 00:51:00
E-0485,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,Medium,2026-07-19 02:01:00,2026-07-19 02:15:00,2026-07-19 02:27:00
E-0152,PACK-D-01,Packaging,D,F204,Part not detected,Low,2026-07-19 02:09:00,2026-07-19 02:24:00,2026-07-19 02:31:00
E-0597,CONVEYOR-B-01,Material Handling,B,F415,Communication interruption,Medium,2026-07-19 03:40:00,2026-07-19 03:52:00,2026-07-19 03:58:00
E-0548,CELL-A-01,Assembly,D,F415,Communication interruption,Medium,2026-07-19 05:32:00,2026-07-19 05:40:00,2026-07-19 05:45:00
