problem_id,equipment,fault_code,title,events_last_7_days,priority,status,owner,opened_date,due_date,containment,root_cause,countermeasure,effectiveness_evidence
P-001,VISION-C-01,F415,Recurring F415 on VISION-C-01: Communication interruption,29,High,New,,2026-08-09,2026-08-14,,,,
P-002,CONVEYOR-B-01,F204,Recurring F204 on CONVEYOR-B-01: Part not detected,26,High,Assigned,A. Rivera,2026-08-09,2026-08-15,,,,
P-003,CELL-A-01,F101,Recurring F101 on CELL-A-01: Guard circuit open,21,High,Contained,J. Chen,2026-08-10,2026-08-16,Verified safe condition and restored production using standard recovery.,,,
P-004,CELL-A-02,F310,Recurring F310 on CELL-A-02: Cycle-time timeout,20,High,Root Cause Confirmed,M. Patel,2026-08-09,2026-08-17,Verified safe condition and restored production using standard recovery.,Demo root-cause statement based on synthetic event review.,,
P-005,VISION-C-01,F310,Recurring F310 on VISION-C-01: Cycle-time timeout,6,Medium,Countermeasure Implemented,S. Johnson,2026-08-11,2026-08-18,Verified safe condition and restored production using standard recovery.,Demo root-cause statement based on synthetic event review.,Demo permanent countermeasure documented for portfolio purposes.,
P-006,VISION-C-01,F522,Recurring F522 on VISION-C-01: Material-present sensor blocked,5,Medium,Effectiveness Confirmed,,2026-08-09,2026-08-14,Verified safe condition and restored production using standard recovery.,Demo root-cause statement based on synthetic event review.,Demo permanent countermeasure documented for portfolio purposes.,No recurrence observed during the synthetic monitoring window.
P-007,ROBOT-G-01,F630,Recurring F630 on ROBOT-G-01: Drive overload,5,Medium,Closed,A. Rivera,2026-08-09,2026-08-15,Verified safe condition and restored production using standard recovery.,Demo root-cause statement based on synthetic event review.,Demo permanent countermeasure documented for portfolio purposes.,No recurrence observed during the synthetic monitoring window.
P-008,CELL-A-02,F522,Recurring F522 on CELL-A-02: Material-present sensor blocked,3,Medium,New,J. Chen,2026-08-09,2026-08-16,,,,
P-009,PUMP-E-01,F310,Recurring F310 on PUMP-E-01: Cycle-time timeout,3,Medium,Assigned,M. Patel,2026-08-10,2026-08-17,,,,
P-010,CELL-A-02,F630,Recurring F630 on CELL-A-02: Drive overload,3,Medium,Contained,S. Johnson,2026-08-10,2026-08-18,Verified safe condition and restored production using standard recovery.,,,
P-011,PACK-D-01,F101,Recurring F101 on PACK-D-01: Guard circuit open,3,Medium,Root Cause Confirmed,,2026-08-10,2026-08-14,Verified safe condition and restored production using standard recovery.,Demo root-cause statement based on synthetic event review.,,
